https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTT,Volume USDT,tradecount
1611014400000,2021-01-19 00:00:00,BTT/USDT,0.00036960,0.00040490,0.00036250,0.00037220,17285278422.00000000,6543320.91828260,38514
1610928000000,2021-01-18 00:00:00,BTT/USDT,0.00035910,0.00037000,0.00035480,0.00036950,10714613813.00000000,3879352.61726330,25185
1610841600000,2021-01-17 00:00:00,BTT/USDT,0.00036500,0.00037800,0.00034440,0.00035800,12903228829.00000000,4582801.42326040,27023
1610755200000,2021-01-16 00:00:00,BTT/USDT,0.00035160,0.00037860,0.00034880,0.00036480,13700344983.00000000,4942550.24529140,28002
1610668800000,2021-01-15 00:00:00,BTT/USDT,0.00036470,0.00037000,0.00033710,0.00035120,11991325971.00000000,4274607.66712220,27324
1610582400000,2021-01-14 00:00:00,BTT/USDT,0.00036440,0.00036950,0.00034770,0.00036450,15424926318.00000000,5548719.92166390,27511
1610496000000,2021-01-13 00:00:00,BTT/USDT,0.00035280,0.00036750,0.00034310,0.00036470,10066274745.00000000,3582959.48366090,20660
1610409600000,2021-01-12 00:00:00,BTT/USDT,0.00035060,0.00037400,0.00033770,0.00035270,8455808484.00000000,3011955.71841880,20031
1610323200000,2021-01-11 00:00:00,BTT/USDT,0.00042950,0.00043330,0.00031590,0.00034970,11394970204.00000000,4024436.48604990,25602
1610236800000,2021-01-10 00:00:00,BTT/USDT,0.00040950,0.00045500,0.00036700,0.00042890,17441136584.00000000,7137798.15008960,41729
1610150400000,2021-01-09 00:00:00,BTT/USDT,0.00033170,0.00053470,0.00033160,0.00040950,55614348740.00000000,23814396.74330450,105684
1610064000000,2021-01-08 00:00:00,BTT/USDT,0.00033260,0.00033990,0.00031450,0.00033170,11064448785.00000000,3613192.24277660,23709
1609977600000,2021-01-07 00:00:00,BTT/USDT,0.00032420,0.00034930,0.00030680,0.00033260,13405307984.00000000,4477879.46734210,29795
1609891200000,2021-01-06 00:00:00,BTT/USDT,0.00031010,0.00033730,0.00030530,0.00032420,11895350366.00000000,3802564.33731650,25282
1609804800000,2021-01-05 00:00:00,BTT/USDT,0.00031410,0.00031540,0.00028960,0.00031040,9820243485.00000000,2965803.38081580,22221
1609718400000,2021-01-04 00:00:00,BTT/USDT,0.00031280,0.00033400,0.00029060,0.00031390,11434907198.00000000,3611872.82158760,26422
1609632000000,2021-01-03 00:00:00,BTT/USDT,0.00033750,0.00034090,0.00030890,0.00031280,21628649313.00000000,6956793.74506870,35985
1609545600000,2021-01-02 00:00:00,BTT/USDT,0.00029350,0.00036790,0.00028850,0.00033730,25909372352.00000000,8298988.66886060,37086
1609459200000,2021-01-01 00:00:00,BTT/USDT,0.00028820,0.00029450,0.00028720,0.00029300,11772926424.00000000,3428179.02900160,11344
1609372800000,2020-12-31 00:00:00,BTT/USDT,0.00029380,0.00030000,0.00028130,0.00028800,12824193111.00000000,3688000.90706230,11601
1609286400000,2020-12-30 00:00:00,BTT/USDT,0.00029140,0.00029440,0.00028050,0.00029350,14484684501.00000000,4170482.10395070,13967
1609200000000,2020-12-29 00:00:00,BTT/USDT,0.00030030,0.00030570,0.00028280,0.00029120,15344460078.00000000,4446553.24127310,17530
1609113600000,2020-12-28 00:00:00,BTT/USDT,0.00029820,0.00031100,0.00029620,0.00030030,15589264631.00000000,4719070.34905660,19224
1609027200000,2020-12-27 00:00:00,BTT/USDT,0.00030040,0.00030850,0.00028610,0.00029800,15713650401.00000000,4683390.83864870,20307
1608940800000,2020-12-26 00:00:00,BTT/USDT,0.00030750,0.00030780,0.00029600,0.00029970,14485594381.00000000,4366550.65029890,14926
1608854400000,2020-12-25 00:00:00,BTT/USDT,0.00030080,0.00031100,0.00029610,0.00030730,14198938187.00000000,4314726.80090200,16573
1608768000000,2020-12-24 00:00:00,BTT/USDT,0.00027600,0.00030270,0.00027140,0.00030060,16972179073.00000000,4839799.23400070,16935
1608681600000,2020-12-23 00:00:00,BTT/USDT,0.00031900,0.00032150,0.00027000,0.00027630,15981487675.00000000,4807363.79170840,19880
1608595200000,2020-12-22 00:00:00,BTT/USDT,0.00031990,0.00032280,0.00030880,0.00031930,13580329334.00000000,4305223.13284260,14534
1608508800000,2020-12-21 00:00:00,BTT/USDT,0.00033640,0.00034120,0.00031780,0.00032010,9190369440.00000000,3049484.04048960,12494
