https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DASH,Volume USDT,tradecount
1614988800000,2021-03-06 00:00:00,DASH/USDT,205.80000000,210.74000000,200.41000000,208.61000000,75771.37399000,15634980.69413530,30457
1614902400000,2021-03-05 00:00:00,DASH/USDT,211.18000000,211.75000000,196.10000000,205.70000000,145137.69888000,29562278.09144690,55186
1614816000000,2021-03-04 00:00:00,DASH/USDT,222.74000000,230.00000000,206.10000000,211.18000000,169287.28870000,36717109.31393060,64358
1614729600000,2021-03-03 00:00:00,DASH/USDT,215.87000000,235.80000000,213.82000000,222.59000000,178477.30036000,40505068.80914260,69375
1614643200000,2021-03-02 00:00:00,DASH/USDT,224.77000000,230.30000000,209.31000000,216.04000000,201183.40119000,44212663.95333230,72546
1614556800000,2021-03-01 00:00:00,DASH/USDT,196.82000000,224.94000000,195.85000000,224.94000000,218515.06239000,45741859.90132410,71396
1614470400000,2021-02-28 00:00:00,DASH/USDT,210.44000000,211.94000000,181.28000000,196.77000000,207923.01210000,40648447.49171510,65118
1614384000000,2021-02-27 00:00:00,DASH/USDT,206.57000000,224.27000000,205.21000000,210.69000000,195763.12727000,41996909.01417640,68618
1614297600000,2021-02-26 00:00:00,DASH/USDT,218.11000000,223.92000000,201.15000000,206.70000000,231381.98349000,49223645.63284610,73565
1614211200000,2021-02-25 00:00:00,DASH/USDT,237.03000000,248.79000000,216.00000000,218.50000000,252003.58046000,59590927.94697960,85592
1614124800000,2021-02-24 00:00:00,DASH/USDT,231.19000000,263.00000000,218.00000000,237.40000000,393461.57820000,95499781.61195970,132275
1614038400000,2021-02-23 00:00:00,DASH/USDT,271.74000000,273.11000000,200.00000000,230.91000000,572502.34696000,131647263.50154610,185867
1613952000000,2021-02-22 00:00:00,DASH/USDT,301.57000000,303.20000000,226.20000000,271.70000000,492173.82981000,132749685.20957690,178748
1613865600000,2021-02-21 00:00:00,DASH/USDT,297.55000000,317.54000000,289.55000000,301.52000000,268039.66845000,80845233.88282110,112553
1613779200000,2021-02-20 00:00:00,DASH/USDT,323.79000000,332.71000000,280.00000000,297.28000000,421948.27107000,132578575.73796310,190867
1613692800000,2021-02-19 00:00:00,DASH/USDT,281.16000000,336.65000000,269.61000000,323.84000000,719761.41020000,224896873.97051660,283281
1613606400000,2021-02-18 00:00:00,DASH/USDT,265.99000000,306.12000000,257.05000000,281.15000000,589697.91273000,166650495.19312520,220961
1613520000000,2021-02-17 00:00:00,DASH/USDT,249.41000000,270.95000000,234.26000000,265.96000000,371685.81453000,94659495.78831460,134854
1613433600000,2021-02-16 00:00:00,DASH/USDT,259.80000000,272.78000000,242.78000000,249.46000000,439133.16626000,113698098.40768330,154022
1613347200000,2021-02-15 00:00:00,DASH/USDT,230.40000000,290.00000000,195.00000000,259.69000000,1021117.66384000,259493052.29385820,354465
1613260800000,2021-02-14 00:00:00,DASH/USDT,267.74000000,278.95000000,222.25000000,230.69000000,549673.22547000,134902180.55102890,200910
1613174400000,2021-02-13 00:00:00,DASH/USDT,169.82000000,298.00000000,169.74000000,267.61000000,1528535.92984000,365175153.91527620,517635
1613088000000,2021-02-12 00:00:00,DASH/USDT,164.91000000,173.42000000,155.24000000,169.76000000,317122.93801000,52098065.97192680,114264
1613001600000,2021-02-11 00:00:00,DASH/USDT,139.70000000,167.50000000,138.19000000,164.60000000,529001.09986000,81684132.10903130,170400
1612915200000,2021-02-10 00:00:00,DASH/USDT,137.40000000,149.00000000,125.00000000,139.75000000,431306.34975000,59211043.80040560,147792
1612828800000,2021-02-09 00:00:00,DASH/USDT,126.25000000,138.10000000,124.11000000,137.36000000,303721.31475000,39334655.28728850,102186
1612742400000,2021-02-08 00:00:00,DASH/USDT,118.32000000,126.54000000,114.78000000,126.16000000,226166.19795000,27390687.31753830,75486
1612656000000,2021-02-07 00:00:00,DASH/USDT,118.97000000,122.00000000,112.29000000,118.31000000,213673.40005000,25025211.60114170,65207
1612569600000,2021-02-06 00:00:00,DASH/USDT,120.40000000,123.00000000,115.01000000,118.94000000,243141.74448000,28998796.57954900,80874
1612483200000,2021-02-05 00:00:00,DASH/USDT,110.98000000,122.50000000,110.38000000,120.42000000,272673.13955000,32086742.24867360,83268
1612396800000,2021-02-04 00:00:00,DASH/USDT,116.86000000,118.52000000,110.00000000,111.00000000,204054.47463000,23157806.19316610,64228
1612310400000,2021-02-03 00:00:00,DASH/USDT,109.86000000,118.66000000,109.86000000,116.84000000,285854.36656000,32831390.20376210,77615
1612224000000,2021-02-02 00:00:00,DASH/USDT,103.52000000,110.95000000,103.10000000,109.85000000,206063.14571000,22009875.88103670,57715
1612137600000,2021-02-01 00:00:00,DASH/USDT,102.39000000,105.74000000,100.20000000,103.54000000,167191.02543000,17313310.78274860,51148
1612051200000,2021-01-31 00:00:00,DASH/USDT,105.19000000,106.25000000,100.05000000,102.42000000,131926.49052000,13607007.35225410,54395
1611964800000,2021-01-30 00:00:00,DASH/USDT,104.60000000,106.22000000,100.51000000,105.17000000,126741.59770000,13125971.80245760,51569
1611878400000,2021-01-29 00:00:00,DASH/USDT,102.71000000,110.22000000,101.06000000,104.56000000,272655.57010000,28736132.40833300,91935
1611792000000,2021-01-28 00:00:00,DASH/USDT,96.49000000,105.53000000,94.81000000,102.68000000,169884.10592000,17235074.19984090,55951
1611705600000,2021-01-27 00:00:00,DASH/USDT,104.88000000,104.96000000,94.30000000,96.45000000,146328.49438000,14409165.03433270,50999
1611619200000,2021-01-26 00:00:00,DASH/USDT,104.84000000,106.34000000,100.23000000,104.97000000,129344.10154000,13402231.03603080,43728
1611532800000,2021-01-25 00:00:00,DASH/USDT,106.23000000,113.22000000,104.76000000,105.00000000,200978.17500000,21956383.61072930,62783
1611446400000,2021-01-24 00:00:00,DASH/USDT,105.27000000,110.90000000,103.56000000,106.16000000,174099.56671000,18633141.81499290,50788
1611360000000,2021-01-23 00:00:00,DASH/USDT,104.72000000,109.92000000,102.09000000,105.29000000,197211.64112000,20819842.72965720,56240
1611273600000,2021-01-22 00:00:00,DASH/USDT,99.70000000,108.29000000,93.85000000,104.72000000,495027.58963000,49682285.72904090,109777
1611187200000,2021-01-21 00:00:00,DASH/USDT,121.21000000,121.99000000,99.53000000,99.77000000,480967.49254000,52494883.21126220,116917
1611100800000,2021-01-20 00:00:00,DASH/USDT,124.51000000,127.10000000,111.55000000,121.13000000,435595.51247000,51627206.16956570,110761
1611014400000,2021-01-19 00:00:00,DASH/USDT,129.34000000,134.45000000,123.00000000,124.46000000,233952.73508000,30335738.96425700,71605
1610928000000,2021-01-18 00:00:00,DASH/USDT,124.33000000,132.50000000,121.00000000,129.30000000,184899.95993000,23441630.91897660,59143
1610841600000,2021-01-17 00:00:00,DASH/USDT,124.80000000,126.99000000,120.09000000,124.26000000,145919.12231000,18044193.48699200,43300
1610755200000,2021-01-16 00:00:00,DASH/USDT,124.38000000,132.34000000,121.35000000,124.85000000,197587.25613000,25030359.65680630,56632
1610668800000,2021-01-15 00:00:00,DASH/USDT,133.00000000,136.63000000,116.40000000,124.30000000,243942.43173000,31047420.82545770,70027
1610582400000,2021-01-14 00:00:00,DASH/USDT,133.13000000,138.00000000,129.10000000,132.99000000,259568.13891000,34532682.51353290,71441
1610496000000,2021-01-13 00:00:00,DASH/USDT,128.46000000,137.60000000,120.02000000,133.10000000,359632.76828000,46577341.09455660,90183
1610409600000,2021-01-12 00:00:00,DASH/USDT,125.19000000,135.81000000,116.22000000,128.53000000,513919.37335000,64790712.11224620,121619
1610323200000,2021-01-11 00:00:00,DASH/USDT,146.50000000,148.52000000,106.02000000,125.01000000,1153291.93778000,145032479.44986620,269693
1610236800000,2021-01-10 00:00:00,DASH/USDT,110.00000000,158.50000000,109.90000000,146.54000000,1374934.10120000,193804375.01817440,331071
1610150400000,2021-01-09 00:00:00,DASH/USDT,96.20000000,111.19000000,94.13000000,109.94000000,263992.12984000,27567778.86696930,66407
1610064000000,2021-01-08 00:00:00,DASH/USDT,98.88000000,100.88000000,92.00000000,96.20000000,235786.66695000,22797020.21700310,61584
1609977600000,2021-01-07 00:00:00,DASH/USDT,94.30000000,108.37000000,92.17000000,98.96000000,385590.06063000,38856513.63790510,100540
1609891200000,2021-01-06 00:00:00,DASH/USDT,89.18000000,94.95000000,87.93000000,94.22000000,254301.58553000,23412561.31266060,65957
1609804800000,2021-01-05 00:00:00,DASH/USDT,88.97000000,90.20000000,85.60000000,89.11000000,150375.66563000,13313228.41468480,41131
1609718400000,2021-01-04 00:00:00,DASH/USDT,89.68000000,96.89000000,85.11000000,89.01000000,259987.88897000,23475566.56903170,71070
1609632000000,2021-01-03 00:00:00,DASH/USDT,86.98000000,92.11000000,85.19000000,89.65000000,225874.80820000,20021612.67672790,55723
1609545600000,2021-01-02 00:00:00,DASH/USDT,87.97000000,94.00000000,84.63000000,87.02000000,334096.22397000,29533243.03448750,79884
1609459200000,2021-01-01 00:00:00,DASH/USDT,99.48000000,102.83000000,85.90000000,87.97000000,354824.35988000,32948564.56407980,80555
1609372800000,2020-12-31 00:00:00,DASH/USDT,101.81000000,102.37000000,96.73000000,99.45000000,94891.00625000,9430410.59395880,24487
