https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XMR,Volume USDT,tradecount
1614643200000,2021-03-02 00:00:00,XMR/USDT,230.56000000,232.51000000,211.00000000,220.04000000,99961.51740000,22234093.34086230,50772
1614556800000,2021-03-01 00:00:00,XMR/USDT,219.23000000,230.72000000,209.92000000,230.40000000,114755.59135000,25233423.53371450,57230
1614470400000,2021-02-28 00:00:00,XMR/USDT,209.34000000,227.50000000,198.24000000,219.18000000,199009.46387000,42257355.02717230,79748
1614384000000,2021-02-27 00:00:00,XMR/USDT,204.16000000,223.20000000,203.54000000,209.26000000,124307.97213000,26778120.49660310,58883
1614297600000,2021-02-26 00:00:00,XMR/USDT,198.61000000,217.92000000,193.51000000,204.20000000,177306.27464000,36190053.09681210,72159
1614211200000,2021-02-25 00:00:00,XMR/USDT,204.52000000,218.58000000,196.00000000,198.98000000,131498.34269000,27196851.24468290,59415
1614124800000,2021-02-24 00:00:00,XMR/USDT,221.04000000,225.61000000,197.80000000,204.27000000,212105.58419000,45436289.52044230,87367
1614038400000,2021-02-23 00:00:00,XMR/USDT,224.29000000,225.57000000,170.15000000,220.85000000,340782.27824000,67722191.62599620,153760
1613952000000,2021-02-22 00:00:00,XMR/USDT,247.37000000,248.66000000,186.95000000,224.22000000,283427.71478000,63564779.68017060,141607
1613865600000,2021-02-21 00:00:00,XMR/USDT,255.02000000,261.26000000,243.46000000,247.28000000,159592.20158000,40399931.21647890,79294
1613779200000,2021-02-20 00:00:00,XMR/USDT,282.21000000,288.80000000,245.55000000,255.11000000,220107.16037000,58840206.77926320,117373
1613692800000,2021-02-19 00:00:00,XMR/USDT,261.17000000,283.94000000,252.50000000,282.51000000,167163.83879000,45016655.30249560,90117
1613606400000,2021-02-18 00:00:00,XMR/USDT,272.11000000,276.69000000,246.33000000,260.94000000,159588.32269000,41997811.91439300,80432
1613520000000,2021-02-17 00:00:00,XMR/USDT,221.43000000,275.00000000,220.73000000,272.25000000,283425.73720000,70191961.79015840,137974
1613433600000,2021-02-16 00:00:00,XMR/USDT,228.24000000,237.00000000,210.22000000,221.48000000,145693.52089000,32528260.05361710,70601
1613347200000,2021-02-15 00:00:00,XMR/USDT,230.13000000,234.15000000,200.83000000,228.21000000,224464.36218000,49054648.70951150,98135
1613260800000,2021-02-14 00:00:00,XMR/USDT,241.10000000,243.20000000,223.01000000,230.14000000,195501.77804000,45465031.57418490,88953
1613174400000,2021-02-13 00:00:00,XMR/USDT,200.57000000,255.32000000,196.39000000,240.99000000,395012.93590000,88133544.77765640,165963
1613088000000,2021-02-12 00:00:00,XMR/USDT,190.48000000,215.80000000,190.28000000,200.64000000,284477.16557000,57676936.01103770,114105
1613001600000,2021-02-11 00:00:00,XMR/USDT,175.50000000,192.55000000,170.55000000,190.49000000,216880.77219000,39727033.92927420,81934
1612915200000,2021-02-10 00:00:00,XMR/USDT,169.09000000,183.00000000,165.00000000,175.60000000,171067.85337000,29703120.61611990,74451
1612828800000,2021-02-09 00:00:00,XMR/USDT,163.09000000,178.00000000,158.50000000,169.14000000,154738.08161000,25553481.56393330,64415
1612742400000,2021-02-08 00:00:00,XMR/USDT,150.30000000,163.84000000,147.22000000,163.21000000,131063.01992000,20417322.01011070,63258
1612656000000,2021-02-07 00:00:00,XMR/USDT,152.11000000,156.08000000,147.21000000,150.31000000,108689.49578000,16468590.08093110,49324
1612569600000,2021-02-06 00:00:00,XMR/USDT,155.46000000,158.16000000,152.00000000,152.06000000,98267.18616000,15275517.69727210,43944
1612483200000,2021-02-05 00:00:00,XMR/USDT,148.09000000,156.43000000,147.41000000,155.40000000,105835.81866000,16074789.04979830,42507
1612396800000,2021-02-04 00:00:00,XMR/USDT,154.65000000,155.51000000,147.68000000,148.04000000,97493.70597000,14735755.48570410,43238
1612310400000,2021-02-03 00:00:00,XMR/USDT,151.20000000,155.24000000,150.15000000,154.60000000,107458.32209000,16471450.88222970,48094
1612224000000,2021-02-02 00:00:00,XMR/USDT,143.32000000,151.97000000,142.75000000,151.19000000,98757.06911000,14468666.73878510,42875
1612137600000,2021-02-01 00:00:00,XMR/USDT,137.73000000,146.29000000,135.64000000,143.36000000,142330.81570000,20186291.21511640,52135
1612051200000,2021-01-31 00:00:00,XMR/USDT,139.44000000,140.45000000,132.17000000,137.73000000,81249.04002000,11058953.58360850,33395
1611964800000,2021-01-30 00:00:00,XMR/USDT,140.34000000,142.18000000,136.16000000,139.43000000,84838.81419000,11748599.61993290,34300
1611878400000,2021-01-29 00:00:00,XMR/USDT,135.51000000,150.00000000,132.07000000,140.31000000,180825.51866000,25283089.13134280,71204
1611792000000,2021-01-28 00:00:00,XMR/USDT,125.41000000,140.21000000,123.55000000,135.43000000,216338.01303000,28968217.21537520,72680
1611705600000,2021-01-27 00:00:00,XMR/USDT,137.86000000,138.18000000,125.06000000,125.45000000,146810.79287000,19293813.66003820,49853
1611619200000,2021-01-26 00:00:00,XMR/USDT,137.14000000,141.00000000,133.20000000,137.85000000,121047.07044000,16642984.69923580,36031
1611532800000,2021-01-25 00:00:00,XMR/USDT,138.04000000,145.55000000,136.80000000,137.16000000,107565.03753000,15147931.13239770,36927
1611446400000,2021-01-24 00:00:00,XMR/USDT,139.06000000,143.06000000,134.07000000,138.03000000,88779.35680000,12370089.52680880,29090
1611360000000,2021-01-23 00:00:00,XMR/USDT,135.78000000,141.76000000,133.74000000,139.03000000,90972.28570000,12558803.52105780,30672
1611273600000,2021-01-22 00:00:00,XMR/USDT,130.54000000,141.22000000,121.82000000,135.79000000,156728.55625000,20641524.32110210,45863
1611187200000,2021-01-21 00:00:00,XMR/USDT,152.78000000,153.14000000,128.02000000,130.53000000,218967.79624000,30563256.67091570,61875
1611100800000,2021-01-20 00:00:00,XMR/USDT,157.14000000,161.58000000,146.02000000,152.77000000,131646.46540000,20057325.76613230,46109
1611014400000,2021-01-19 00:00:00,XMR/USDT,156.93000000,165.62000000,152.54000000,157.27000000,206048.40928000,32569632.26510760,57863
1610928000000,2021-01-18 00:00:00,XMR/USDT,159.61000000,160.81000000,150.22000000,156.98000000,146966.50805000,22680405.16235060,42772
1610841600000,2021-01-17 00:00:00,XMR/USDT,155.57000000,164.49000000,149.77000000,159.65000000,141244.30475000,22137586.94382770,41299
1610755200000,2021-01-16 00:00:00,XMR/USDT,156.99000000,162.00000000,152.49000000,155.56000000,96580.18228000,15275361.77885490,38424
1610668800000,2021-01-15 00:00:00,XMR/USDT,163.86000000,167.82000000,147.47000000,156.98000000,152092.38865000,24288007.31076290,48525
