https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume QTUM,Volume USDT,tradecount
1613174400000,2021-02-13 00:00:00,QTUM/USDT,7.34300000,7.78400000,6.93400000,7.71800000,8545553.07600000,62460111.43335100,142614
1613088000000,2021-02-12 00:00:00,QTUM/USDT,7.40800000,8.23800000,6.84100000,7.34500000,23219109.02700000,170849423.34603800,317707
1613001600000,2021-02-11 00:00:00,QTUM/USDT,7.52200000,8.85000000,7.18400000,7.41100000,22059610.83600000,174550929.52123900,322956
1612915200000,2021-02-10 00:00:00,QTUM/USDT,5.01700000,7.77000000,4.98400000,7.51400000,42672218.05600000,285234758.00209200,500827
1612828800000,2021-02-09 00:00:00,QTUM/USDT,4.73600000,5.24700000,4.51800000,5.01500000,7655641.71500000,36979601.18992500,93451
1612742400000,2021-02-08 00:00:00,QTUM/USDT,4.24600000,4.81400000,4.02000000,4.73100000,10154562.76200000,45910437.33242200,117429
1612656000000,2021-02-07 00:00:00,QTUM/USDT,4.43600000,4.45000000,3.93600000,4.24600000,8655832.17800000,36503702.20103000,90921
1612569600000,2021-02-06 00:00:00,QTUM/USDT,3.85400000,4.60000000,3.64500000,4.43200000,13160142.93200000,55039579.89947900,127443
1612483200000,2021-02-05 00:00:00,QTUM/USDT,3.50600000,4.00000000,3.48300000,3.85700000,6510264.53000000,24413550.38792700,66310
1612396800000,2021-02-04 00:00:00,QTUM/USDT,3.68400000,3.73800000,3.32700000,3.50600000,5201739.83800000,18444222.08610600,51345
1612310400000,2021-02-03 00:00:00,QTUM/USDT,3.54400000,3.76700000,3.44500000,3.68300000,5229650.28000000,18849019.06350000,51350
1612224000000,2021-02-02 00:00:00,QTUM/USDT,3.46900000,3.61200000,3.35000000,3.54300000,4596385.80300000,15945678.47894600,44669
1612137600000,2021-02-01 00:00:00,QTUM/USDT,3.28000000,3.52900000,3.17200000,3.47100000,6443019.21100000,21930548.01316900,61048
1612051200000,2021-01-31 00:00:00,QTUM/USDT,3.29600000,3.54600000,3.17400000,3.28300000,5432597.69900000,18196691.56163600,52295
1611964800000,2021-01-30 00:00:00,QTUM/USDT,3.30600000,3.36000000,3.11900000,3.29700000,4094333.97800000,13307024.32523900,38907
1611878400000,2021-01-29 00:00:00,QTUM/USDT,3.27100000,3.66800000,3.23000000,3.30700000,7154764.79800000,24224338.42592000,69753
1611792000000,2021-01-28 00:00:00,QTUM/USDT,3.10900000,3.39300000,3.02100000,3.27100000,4876480.10400000,15887574.36672500,44020
1611705600000,2021-01-27 00:00:00,QTUM/USDT,3.43500000,3.45700000,3.00000000,3.11200000,5919791.23400000,19219708.06390000,51997
1611619200000,2021-01-26 00:00:00,QTUM/USDT,3.28400000,3.48600000,3.18600000,3.43400000,5201546.48600000,17390752.82135100,46400
1611532800000,2021-01-25 00:00:00,QTUM/USDT,3.54400000,3.67400000,3.25700000,3.28400000,6101649.54600000,21240603.15107100,55355
1611446400000,2021-01-24 00:00:00,QTUM/USDT,3.93700000,4.18500000,3.42600000,3.54500000,13734466.56000000,51788754.51126300,113289
1611360000000,2021-01-23 00:00:00,QTUM/USDT,2.91800000,3.99700000,2.88000000,3.93800000,19135082.35400000,66623365.22334900,135272
1611273600000,2021-01-22 00:00:00,QTUM/USDT,2.73500000,3.05400000,2.56000000,2.91800000,4503953.66300000,12655049.26508100,37440
1611187200000,2021-01-21 00:00:00,QTUM/USDT,3.23700000,3.26000000,2.67700000,2.73600000,4296529.55000000,12763658.36568300,41105
1611100800000,2021-01-20 00:00:00,QTUM/USDT,3.15700000,3.29600000,2.96500000,3.23800000,5546833.81200000,17389273.52609000,47734
1611014400000,2021-01-19 00:00:00,QTUM/USDT,3.29700000,3.42700000,3.12900000,3.16100000,5660448.30000000,18577550.89592000,49532
1610928000000,2021-01-18 00:00:00,QTUM/USDT,3.18500000,3.37300000,3.04500000,3.30100000,6621233.40400000,21519025.68039800,57398
1610841600000,2021-01-17 00:00:00,QTUM/USDT,3.05100000,3.28100000,2.85300000,3.18800000,5786627.20500000,17775214.90752200,48440
1610755200000,2021-01-16 00:00:00,QTUM/USDT,2.94300000,3.25000000,2.90000000,3.05600000,6036377.92600000,18831471.31902300,52033
1610668800000,2021-01-15 00:00:00,QTUM/USDT,3.01800000,3.21900000,2.72000000,2.94100000,6214882.31600000,18667272.00664100,52066
1610582400000,2021-01-14 00:00:00,QTUM/USDT,2.94900000,3.12000000,2.81400000,3.02100000,4506701.74600000,13290688.05205400,34789
1610496000000,2021-01-13 00:00:00,QTUM/USDT,2.75000000,3.01000000,2.67300000,2.94800000,3551906.04200000,10183701.29762900,29171
1610409600000,2021-01-12 00:00:00,QTUM/USDT,2.89900000,2.96700000,2.65800000,2.75000000,3942980.44600000,11171148.70317000,30842
1610323200000,2021-01-11 00:00:00,QTUM/USDT,3.38100000,3.48100000,2.55100000,2.89800000,8353586.92100000,24445838.14800700,81792
1610236800000,2021-01-10 00:00:00,QTUM/USDT,3.23200000,3.72000000,2.87600000,3.38300000,10191786.72000000,34469979.78567600,96784
1610150400000,2021-01-09 00:00:00,QTUM/USDT,2.86100000,3.31400000,2.77300000,3.22800000,6315252.14200000,19409892.08260200,53874
1610064000000,2021-01-08 00:00:00,QTUM/USDT,2.89400000,2.98000000,2.63000000,2.86100000,4828215.75300000,13660905.48804700,41973
1609977600000,2021-01-07 00:00:00,QTUM/USDT,3.01500000,3.17700000,2.75000000,2.89400000,6585258.87700000,19736931.50953400,61694
1609891200000,2021-01-06 00:00:00,QTUM/USDT,2.61300000,3.04500000,2.53500000,3.01300000,6488691.91300000,18165519.58154400,56682
1609804800000,2021-01-05 00:00:00,QTUM/USDT,2.51500000,2.65300000,2.38900000,2.61200000,5401551.43600000,13716331.48257000,41625
1609718400000,2021-01-04 00:00:00,QTUM/USDT,2.46500000,2.70300000,2.25400000,2.51500000,6643783.74600000,16486252.91312700,57606
1609632000000,2021-01-03 00:00:00,QTUM/USDT,2.24900000,2.49900000,2.20000000,2.46600000,3646678.16700000,8546631.96611300,28886
1609545600000,2021-01-02 00:00:00,QTUM/USDT,2.26900000,2.29100000,2.18700000,2.24900000,2480219.32100000,5559539.95512000,18295
1609459200000,2021-01-01 00:00:00,QTUM/USDT,2.22200000,2.37000000,2.19600000,2.26800000,1871044.70700000,4238535.15304300,14860
1609372800000,2020-12-31 00:00:00,QTUM/USDT,2.21500000,2.25800000,2.14200000,2.22200000,1056454.17100000,2322939.84006500,10230
1609286400000,2020-12-30 00:00:00,QTUM/USDT,2.27400000,2.29500000,2.17400000,2.21500000,1275552.50200000,2834264.61299200,11280
1609200000000,2020-12-29 00:00:00,QTUM/USDT,2.38300000,2.43800000,2.13000000,2.27100000,3093741.92600000,7002245.97584100,23511
1609113600000,2020-12-28 00:00:00,QTUM/USDT,2.27700000,2.44100000,2.25800000,2.38400000,2751944.03700000,6487493.05071600,20489
1609027200000,2020-12-27 00:00:00,QTUM/USDT,2.26300000,2.40200000,2.14300000,2.27500000,3204945.38600000,7333202.31209900,26988
1608940800000,2020-12-26 00:00:00,QTUM/USDT,2.29000000,2.30700000,2.16200000,2.26000000,1698160.80500000,3809108.54325300,14173
1608854400000,2020-12-25 00:00:00,QTUM/USDT,2.31100000,2.40400000,2.22400000,2.28800000,2423032.31700000,5579061.70438200,19691
1608768000000,2020-12-24 00:00:00,QTUM/USDT,2.09400000,2.32200000,2.01800000,2.31200000,3335098.65000000,7106940.87426200,25064
1608681600000,2020-12-23 00:00:00,QTUM/USDT,2.57300000,2.59100000,1.86400000,2.09600000,3736758.58600000,8432178.53406200,32503
1608595200000,2020-12-22 00:00:00,QTUM/USDT,2.59200000,2.62600000,2.42600000,2.57400000,1773243.01800000,4511153.05585500,15503
1608508800000,2020-12-21 00:00:00,QTUM/USDT,2.80000000,2.86600000,2.55000000,2.59200000,2225641.65600000,5966903.26342000,21722
1608422400000,2020-12-20 00:00:00,QTUM/USDT,2.81100000,2.91900000,2.72000000,2.80200000,1843553.83300000,5193258.30677900,17180
1608336000000,2020-12-19 00:00:00,QTUM/USDT,2.74000000,2.94000000,2.72500000,2.81100000,2077145.01500000,5918088.14662600,19696
1608249600000,2020-12-18 00:00:00,QTUM/USDT,2.68800000,2.78600000,2.62800000,2.74000000,1197280.65900000,3249758.84942900,11849
1608163200000,2020-12-17 00:00:00,QTUM/USDT,2.76300000,2.84400000,2.64800000,2.68800000,2940554.78500000,8111948.29973000,25986
1608076800000,2020-12-16 00:00:00,QTUM/USDT,2.58700000,2.77400000,2.51900000,2.76600000,1581180.99100000,4174263.07323200,16113
1607990400000,2020-12-15 00:00:00,QTUM/USDT,2.52100000,2.65600000,2.45200000,2.58600000,1866204.57800000,4779157.07878600,12907
1607904000000,2020-12-14 00:00:00,QTUM/USDT,2.55800000,2.55800000,2.46400000,2.52100000,643652.06600000,1616206.11168600,6138
1607817600000,2020-12-13 00:00:00,QTUM/USDT,2.46700000,2.61200000,2.45400000,2.55700000,1033525.59700000,2628180.22799900,10025
1607731200000,2020-12-12 00:00:00,QTUM/USDT,2.33800000,2.48100000,2.33000000,2.46900000,805193.34100000,1961878.00128100,6948
1607644800000,2020-12-11 00:00:00,QTUM/USDT,2.43000000,2.43900000,2.31500000,2.33700000,850332.73100000,2009594.77616900,7490
1607558400000,2020-12-10 00:00:00,QTUM/USDT,2.49100000,2.51000000,2.35900000,2.43000000,791009.64600000,1918729.07922000,6752
1607472000000,2020-12-09 00:00:00,QTUM/USDT,2.41000000,2.50600000,2.29000000,2.49100000,1754405.38800000,4242838.13075900,14535
1607385600000,2020-12-08 00:00:00,QTUM/USDT,2.61200000,2.61700000,2.37600000,2.41000000,1359890.11500000,3386235.50775900,11966
1607299200000,2020-12-07 00:00:00,QTUM/USDT,2.65300000,2.69200000,2.56400000,2.61200000,868520.33800000,2287043.65834800,8004
1607212800000,2020-12-06 00:00:00,QTUM/USDT,2.71700000,2.75600000,2.58300000,2.65300000,1173466.73100000,3116235.35144700,9918
1607126400000,2020-12-05 00:00:00,QTUM/USDT,2.59000000,2.73900000,2.55900000,2.71800000,956536.27100000,2548817.60504000,8601
1607040000000,2020-12-04 00:00:00,QTUM/USDT,2.87700000,2.90200000,2.54300000,2.59100000,2800367.53300000,7633202.33272600,20428
1606953600000,2020-12-03 00:00:00,QTUM/USDT,2.78400000,2.98600000,2.78100000,2.87700000,2963576.15000000,8583240.05372900,27118
1606867200000,2020-12-02 00:00:00,QTUM/USDT,2.71800000,2.83900000,2.68000000,2.78700000,1550039.02300000,4264341.85769900,14313
1606780800000,2020-12-01 00:00:00,QTUM/USDT,2.92900000,3.02200000,2.67400000,2.71800000,3500254.73000000,9906039.64166300,31194
1606694400000,2020-11-30 00:00:00,QTUM/USDT,2.73400000,3.06600000,2.73300000,2.93200000,4109360.47600000,11833186.79614400,41704
1606608000000,2020-11-29 00:00:00,QTUM/USDT,2.68900000,2.84300000,2.59300000,2.73400000,2321047.22700000,6295708.08263600,23153
1606521600000,2020-11-28 00:00:00,QTUM/USDT,2.60500000,2.75600000,2.51900000,2.69000000,2843396.37400000,7493695.93476000,26630
1606435200000,2020-11-27 00:00:00,QTUM/USDT,2.52500000,2.62300000,2.38300000,2.60200000,3373006.23200000,8467026.61822200,32040
1606348800000,2020-11-26 00:00:00,QTUM/USDT,2.92200000,3.00900000,2.29500000,2.52200000,9506679.00200000,24383651.85951400,83596
1606262400000,2020-11-25 00:00:00,QTUM/USDT,3.08000000,3.28300000,2.80100000,2.92400000,7276205.34700000,22187574.03174200,69782
1606176000000,2020-11-24 00:00:00,QTUM/USDT,2.79400000,3.18500000,2.72300000,3.07900000,10256605.08600000,30502311.78306200,100644
1606089600000,2020-11-23 00:00:00,QTUM/USDT,2.55700000,2.80000000,2.49500000,2.79400000,5702794.00100000,15246777.01864200,50337
1606003200000,2020-11-22 00:00:00,QTUM/USDT,2.69600000,2.73900000,2.38400000,2.55700000,5587635.30700000,14229085.83721600,50439
1605916800000,2020-11-21 00:00:00,QTUM/USDT,2.36200000,2.71300000,2.35300000,2.69500000,6137450.27400000,15639323.86041800,54902
1605830400000,2020-11-20 00:00:00,QTUM/USDT,2.25200000,2.44100000,2.25000000,2.36200000,3750025.50700000,8816873.86050100,32424
1605744000000,2020-11-19 00:00:00,QTUM/USDT,2.15100000,2.31800000,2.08000000,2.25000000,3562257.40300000,7841402.83902800,27335
1605657600000,2020-11-18 00:00:00,QTUM/USDT,2.20600000,2.24100000,2.07200000,2.15000000,3527237.62500000,7610217.44974500,29803
1605571200000,2020-11-17 00:00:00,QTUM/USDT,2.07500000,2.21300000,2.07300000,2.20600000,3400450.96900000,7294171.50617800,27541
1605484800000,2020-11-16 00:00:00,QTUM/USDT,1.97700000,2.08900000,1.96500000,2.07300000,1650007.21000000,3362190.62806200,13652
1605398400000,2020-11-15 00:00:00,QTUM/USDT,2.04100000,2.07700000,1.93500000,1.97800000,1638845.77300000,3302884.82786900,12859
1605312000000,2020-11-14 00:00:00,QTUM/USDT,2.09400000,2.10700000,2.00900000,2.04000000,1544390.15600000,3168078.23809300,13839
1605225600000,2020-11-13 00:00:00,QTUM/USDT,2.03100000,2.09700000,1.99700000,2.09400000,1887037.22600000,3873356.46035100,14815
1605139200000,2020-11-12 00:00:00,QTUM/USDT,2.05300000,2.12900000,2.00800000,2.03000000,2780016.93100000,5747472.00936200,22815
1605052800000,2020-11-11 00:00:00,QTUM/USDT,2.00700000,2.14300000,2.00500000,2.05400000,2234912.11200000,4610827.06684500,18385
1604966400000,2020-11-10 00:00:00,QTUM/USDT,1.99000000,2.03300000,1.95000000,2.00600000,2272156.27700000,4532068.73454600,20730
1604880000000,2020-11-09 00:00:00,QTUM/USDT,2.02500000,2.04600000,1.93200000,1.98900000,1828107.08400000,3644298.18122000,17326
1604793600000,2020-11-08 00:00:00,QTUM/USDT,1.94800000,2.05200000,1.92800000,2.02700000,1816948.18400000,3643423.02009300,15409
1604707200000,2020-11-07 00:00:00,QTUM/USDT,2.07300000,2.18700000,1.92300000,1.94900000,4419204.40200000,9064151.07138500,36907
1604620800000,2020-11-06 00:00:00,QTUM/USDT,1.93000000,2.08300000,1.92400000,2.07100000,2681927.56300000,5395290.85079400,20653
1604534400000,2020-11-05 00:00:00,QTUM/USDT,1.83300000,1.94300000,1.81300000,1.93100000,2268720.19200000,4272391.89362900,16708
1604448000000,2020-11-04 00:00:00,QTUM/USDT,1.86900000,1.87100000,1.75000000,1.83300000,1683970.12200000,3059492.75326700,12644
1604361600000,2020-11-03 00:00:00,QTUM/USDT,1.92300000,1.92700000,1.80400000,1.86800000,1868673.23900000,3458104.05426800,13942
1604275200000,2020-11-02 00:00:00,QTUM/USDT,2.00900000,2.05600000,1.91600000,1.92400000,1770601.06800000,3515885.45785100,14085
1604188800000,2020-11-01 00:00:00,QTUM/USDT,1.96400000,2.01300000,1.94000000,2.00800000,959336.14100000,1893192.64312700,7243
1604102400000,2020-10-31 00:00:00,QTUM/USDT,1.94600000,1.99800000,1.93500000,1.96400000,1448273.80600000,2853287.08453800,10555
1604016000000,2020-10-30 00:00:00,QTUM/USDT,2.03300000,2.06100000,1.87700000,1.94600000,3065345.95600000,6013234.95548400,21578
1603929600000,2020-10-29 00:00:00,QTUM/USDT,2.07900000,2.11200000,2.00800000,2.03300000,1693565.58800000,3490386.75860300,13872
1603843200000,2020-10-28 00:00:00,QTUM/USDT,2.19500000,2.21800000,2.05100000,2.07900000,2835286.37400000,5996633.73742700,21421
1603756800000,2020-10-27 00:00:00,QTUM/USDT,2.17300000,2.21500000,2.16000000,2.19400000,2439188.21700000,5339867.12256200,18772
1603670400000,2020-10-26 00:00:00,QTUM/USDT,2.22700000,2.26600000,2.13500000,2.17400000,2575919.31300000,5669625.82108300,20918
1603584000000,2020-10-25 00:00:00,QTUM/USDT,2.31100000,2.31200000,2.20700000,2.22900000,1481535.25800000,3349840.12255000,12430
1603497600000,2020-10-24 00:00:00,QTUM/USDT,2.29100000,2.33300000,2.27400000,2.31200000,1277077.57500000,2946390.90193700,10333
1603411200000,2020-10-23 00:00:00,QTUM/USDT,2.34000000,2.34100000,2.23100000,2.29100000,2157846.48000000,4960556.88177600,16862
1603324800000,2020-10-22 00:00:00,QTUM/USDT,2.28300000,2.39400000,2.28300000,2.34100000,2682540.79700000,6272906.14871600,21154
1603238400000,2020-10-21 00:00:00,QTUM/USDT,2.14500000,2.31600000,2.13700000,2.28300000,2967079.59300000,6632748.46790100,24156
1603152000000,2020-10-20 00:00:00,QTUM/USDT,2.21200000,2.21500000,2.12600000,2.14600000,1775359.44100000,3837141.45012500,14534
1603065600000,2020-10-19 00:00:00,QTUM/USDT,2.21500000,2.23200000,2.16300000,2.21200000,1796086.18400000,3952940.20977400,13520
1602979200000,2020-10-18 00:00:00,QTUM/USDT,2.17900000,2.22400000,2.17600000,2.21600000,1153744.61800000,2541428.02800900,9296
1602892800000,2020-10-17 00:00:00,QTUM/USDT,2.16700000,2.21200000,2.14100000,2.17900000,1331041.68100000,2891163.64456300,10376
1602806400000,2020-10-16 00:00:00,QTUM/USDT,2.23000000,2.24400000,2.10700000,2.16600000,2540179.59600000,5484737.69359100,18942
1602720000000,2020-10-15 00:00:00,QTUM/USDT,2.25400000,2.25700000,2.17600000,2.23000000,2315497.13400000,5145204.60236400,18139
1602633600000,2020-10-14 00:00:00,QTUM/USDT,2.33200000,2.36800000,2.23700000,2.25400000,2669835.52400000,6141024.22712300,20732
1602547200000,2020-10-13 00:00:00,QTUM/USDT,2.34300000,2.41100000,2.29200000,2.33000000,2693763.01100000,6340561.35277100,21077
1602460800000,2020-10-12 00:00:00,QTUM/USDT,2.35400000,2.41200000,2.28900000,2.34500000,3075840.17400000,7219085.63725100,22456
1602374400000,2020-10-11 00:00:00,QTUM/USDT,2.29800000,2.39100000,2.28600000,2.35400000,2457451.41500000,5723898.66897200,18640
1602288000000,2020-10-10 00:00:00,QTUM/USDT,2.33000000,2.39300000,2.27500000,2.30000000,3334456.38700000,7819372.31243400,24255
1602201600000,2020-10-09 00:00:00,QTUM/USDT,2.25100000,2.34800000,2.20500000,2.33000000,2676901.24200000,6123896.63749100,20456
1602115200000,2020-10-08 00:00:00,QTUM/USDT,2.19100000,2.28200000,2.11900000,2.25100000,2848590.13800000,6280538.89816900,21427
1602028800000,2020-10-07 00:00:00,QTUM/USDT,2.17200000,2.20800000,2.08000000,2.19200000,2967041.15000000,6402359.09576900,22030
1601942400000,2020-10-06 00:00:00,QTUM/USDT,2.30400000,2.31000000,2.15200000,2.17200000,3060626.02000000,6793214.84397200,22805
1601856000000,2020-10-05 00:00:00,QTUM/USDT,2.30500000,2.32600000,2.24700000,2.30200000,1522661.92700000,3473276.37441000,11556
1601769600000,2020-10-04 00:00:00,QTUM/USDT,2.29700000,2.31900000,2.24200000,2.30600000,1301964.21300000,2976547.57650800,9779
1601683200000,2020-10-03 00:00:00,QTUM/USDT,2.28700000,2.34500000,2.27000000,2.29700000,1115806.27400000,2578027.06455600,8376
1601596800000,2020-10-02 00:00:00,QTUM/USDT,2.36500000,2.39700000,2.18200000,2.28800000,2487721.16900000,5661245.10887700,19878
1601510400000,2020-10-01 00:00:00,QTUM/USDT,2.43600000,2.52700000,2.31500000,2.36500000,2823855.61000000,6879149.91051900,20042
1601424000000,2020-09-30 00:00:00,QTUM/USDT,2.43500000,2.46800000,2.36800000,2.43500000,2192838.07100000,5284347.62726800,15433
1601337600000,2020-09-29 00:00:00,QTUM/USDT,2.42400000,2.48600000,2.34400000,2.43300000,2695097.82300000,6514151.35025100,19889
1601251200000,2020-09-28 00:00:00,QTUM/USDT,2.37200000,2.58900000,2.37000000,2.42500000,3600478.71500000,8882704.30144800,26585
1601164800000,2020-09-27 00:00:00,QTUM/USDT,2.39900000,2.45200000,2.30700000,2.37000000,2299004.02400000,5464740.24053400,15906
1601078400000,2020-09-26 00:00:00,QTUM/USDT,2.36000000,2.42000000,2.32100000,2.39900000,2489662.05500000,5908893.24115700,17393
1600992000000,2020-09-25 00:00:00,QTUM/USDT,2.31900000,2.41200000,2.23000000,2.36000000,3064227.39100000,7119216.59818100,22753
1600905600000,2020-09-24 00:00:00,QTUM/USDT,2.17700000,2.34800000,2.13900000,2.31900000,3473393.21800000,7840470.10286500,23109
1600819200000,2020-09-23 00:00:00,QTUM/USDT,2.34200000,2.36900000,2.16400000,2.17600000,3572478.56800000,8163660.75731900,26323
1600732800000,2020-09-22 00:00:00,QTUM/USDT,2.26400000,2.34300000,2.17500000,2.34100000,4608695.71200000,10463227.75583800,34699
1600646400000,2020-09-21 00:00:00,QTUM/USDT,2.51900000,2.62100000,2.19500000,2.26300000,8749098.30000000,20775434.96746200,64011
1600560000000,2020-09-20 00:00:00,QTUM/USDT,2.63100000,2.65400000,2.43400000,2.52000000,3919816.66300000,10013554.61257300,27886
1600473600000,2020-09-19 00:00:00,QTUM/USDT,2.80400000,2.80400000,2.60100000,2.63100000,5764342.32500000,15387536.25387400,40233
1600387200000,2020-09-18 00:00:00,QTUM/USDT,2.56600000,2.92900000,2.51900000,2.80400000,9247965.34000000,25313392.83074100,74020
1600300800000,2020-09-17 00:00:00,QTUM/USDT,2.44900000,2.61800000,2.41200000,2.56600000,3942603.40600000,9883880.46370700,33275
1600214400000,2020-09-16 00:00:00,QTUM/USDT,2.46500000,2.59900000,2.36000000,2.44800000,4114496.19100000,10200817.72243500,35954
1600128000000,2020-09-15 00:00:00,QTUM/USDT,2.63900000,2.68600000,2.42500000,2.46600000,3434982.56600000,8819767.70474100,32268
1600041600000,2020-09-14 00:00:00,QTUM/USDT,2.65000000,2.74100000,2.55400000,2.63900000,3691273.69600000,9808111.69864300,34459
1599955200000,2020-09-13 00:00:00,QTUM/USDT,2.85400000,2.88000000,2.54600000,2.64800000,4210138.79600000,11377931.62241600,39208
1599868800000,2020-09-12 00:00:00,QTUM/USDT,2.81400000,2.93700000,2.73200000,2.85400000,6301949.10800000,17740519.58474500,49292
1599782400000,2020-09-11 00:00:00,QTUM/USDT,2.62200000,2.82500000,2.50200000,2.81600000,5680277.66500000,15150204.65156900,45941
1599696000000,2020-09-10 00:00:00,QTUM/USDT,2.43700000,2.65100000,2.43500000,2.62200000,5032941.20200000,12742483.35042900,39163
1599609600000,2020-09-09 00:00:00,QTUM/USDT,2.35600000,2.52900000,2.28000000,2.43900000,4459173.24500000,10731733.58943100,34709
