https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume USDT,tradecount
1616371200000,2021-03-22 00:00:00,LINK/USDT,29.21170000,29.27060000,29.00000000,29.01030000,35831.05000000,1043510.03396200,2140
1616284800000,2021-03-21 00:00:00,LINK/USDT,29.65640000,30.08000000,28.58170000,29.20970000,2589005.21000000,75950277.11919300,161992
1616198400000,2021-03-20 00:00:00,LINK/USDT,29.78660000,31.43250000,29.57010000,29.64650000,3370847.33000000,103288551.13195500,200702
1616112000000,2021-03-19 00:00:00,LINK/USDT,29.39290000,30.55100000,28.68020000,29.77700000,3576087.99000000,106995221.74517100,197038
1616025600000,2021-03-18 00:00:00,LINK/USDT,31.05790000,31.35880000,29.00000000,29.39490000,4993129.50000000,149811858.60694800,443840
1615939200000,2021-03-17 00:00:00,LINK/USDT,27.91000000,31.20000000,27.30270000,31.05790000,8170703.32000000,242286489.38859800,442460
1615852800000,2021-03-16 00:00:00,LINK/USDT,27.50060000,28.18830000,26.39750000,27.90990000,3775086.95000000,103719656.37465300,155028
1615766400000,2021-03-15 00:00:00,LINK/USDT,28.53100000,29.42170000,26.80000000,27.50910000,5267823.29000000,146211161.74521700,189541
1615680000000,2021-03-14 00:00:00,LINK/USDT,29.75060000,30.20000000,28.51080000,28.54690000,3148221.83000000,92035323.39389900,127720
1615593600000,2021-03-13 00:00:00,LINK/USDT,28.35230000,30.57000000,26.93260000,29.73840000,5690169.10000000,165481441.62743200,225862
1615507200000,2021-03-12 00:00:00,LINK/USDT,30.12270000,30.41100000,27.37170000,28.35530000,4815001.06000000,138581044.61593500,186738
1615420800000,2021-03-11 00:00:00,LINK/USDT,29.87430000,30.52850000,28.55160000,30.11660000,5079711.85000000,149748656.00150300,176958
1615334400000,2021-03-10 00:00:00,LINK/USDT,31.49140000,31.79340000,29.25450000,29.90360000,4916671.70000000,149593272.64572400,201348
1615248000000,2021-03-09 00:00:00,LINK/USDT,31.82270000,32.00000000,30.36390000,31.49140000,5209845.28000000,162354930.34431700,501889
1615161600000,2021-03-08 00:00:00,LINK/USDT,28.59180000,31.84690000,28.26520000,31.84690000,7181496.70000000,214499763.67170600,377072
1615075200000,2021-03-07 00:00:00,LINK/USDT,28.16080000,29.12580000,27.38590000,28.59320000,4599258.02000000,130068525.62660500,372640
1614988800000,2021-03-06 00:00:00,LINK/USDT,27.81950000,28.39850000,26.28890000,28.14790000,3809103.37000000,104430323.98257700,146669
1614902400000,2021-03-05 00:00:00,LINK/USDT,27.68560000,28.23380000,25.64830000,27.83430000,5835770.65000000,156133465.59001800,214041
1614816000000,2021-03-04 00:00:00,LINK/USDT,29.83340000,30.57310000,27.18910000,27.69430000,6809212.29000000,196844608.98179100,260997
1614729600000,2021-03-03 00:00:00,LINK/USDT,28.46400000,31.43000000,28.12720000,29.85000000,6863848.85000000,207575714.10362500,286060
1614643200000,2021-03-02 00:00:00,LINK/USDT,27.71870000,30.52510000,27.17570000,28.47690000,9716494.53000000,280459229.08875800,389158
1614556800000,2021-03-01 00:00:00,LINK/USDT,24.69540000,27.73260000,24.57580000,27.71160000,12300905.73000000,325463708.36868700,259419
1614470400000,2021-02-28 00:00:00,LINK/USDT,26.19410000,26.76240000,22.85780000,24.70160000,7913084.04000000,192931571.23121900,254067
1614384000000,2021-02-27 00:00:00,LINK/USDT,25.16500000,27.44720000,24.85450000,26.18960000,7629090.66000000,197484805.38998200,250162
1614297600000,2021-02-26 00:00:00,LINK/USDT,24.71440000,26.99060000,23.65740000,25.18620000,9141896.37000000,229379802.33363200,298391
1614211200000,2021-02-25 00:00:00,LINK/USDT,28.07370000,28.68020000,24.25090000,24.71440000,7925390.07000000,215188023.48076600,262863
