https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NEO,Volume USDT,tradecount
1616371200000,2021-03-22 00:00:00,NEO/USDT,42.45200000,42.57000000,42.05000000,42.10600000,9095.63300000,385080.34395400,673
1616284800000,2021-03-21 00:00:00,NEO/USDT,43.07200000,43.55000000,41.07200000,42.42100000,798237.91800000,33799523.10947300,68950
1616198400000,2021-03-20 00:00:00,NEO/USDT,44.01200000,45.46500000,42.85000000,43.08000000,841664.29600000,37433324.15477300,69301
1616112000000,2021-03-19 00:00:00,NEO/USDT,43.64500000,45.63000000,42.41300000,44.02300000,735221.00500000,32730914.92919200,68742
1616025600000,2021-03-18 00:00:00,NEO/USDT,46.42800000,48.00100000,43.09000000,43.64300000,1440993.50400000,65513742.90238300,133522
1615939200000,2021-03-17 00:00:00,NEO/USDT,40.81300000,46.56300000,40.12000000,46.42800000,2522575.52600000,109868136.58306500,228897
1615852800000,2021-03-16 00:00:00,NEO/USDT,38.59600000,40.94500000,37.43000000,40.79300000,949922.23000000,37509923.19818100,100155
1615766400000,2021-03-15 00:00:00,NEO/USDT,39.56100000,40.96000000,37.23300000,38.59700000,1158234.06200000,45302211.66705500,113758
1615680000000,2021-03-14 00:00:00,NEO/USDT,42.08000000,42.93900000,39.55000000,39.61600000,815769.69800000,33317672.19060800,71465
1615593600000,2021-03-13 00:00:00,NEO/USDT,39.88800000,42.50000000,38.36000000,42.04400000,1043969.71600000,42846678.17431700,91351
1615507200000,2021-03-12 00:00:00,NEO/USDT,41.96700000,42.06400000,38.43000000,39.89500000,1004438.47200000,40346498.04900000,84792
1615420800000,2021-03-11 00:00:00,NEO/USDT,40.86800000,42.66200000,39.01500000,41.93700000,1087173.78600000,44329637.08112300,94375
1615334400000,2021-03-10 00:00:00,NEO/USDT,42.58600000,43.07900000,39.82400000,40.86700000,1195824.04400000,49526594.05387200,97591
1615248000000,2021-03-09 00:00:00,NEO/USDT,40.11700000,43.07900000,39.64000000,42.58700000,1274584.31000000,53136895.21935100,116849
1615161600000,2021-03-08 00:00:00,NEO/USDT,39.27900000,40.15700000,37.82500000,40.11300000,892016.51500000,34709599.92527100,76169
1615075200000,2021-03-07 00:00:00,NEO/USDT,38.10000000,39.39000000,38.02600000,39.27900000,616873.28900000,23923024.75931200,52214
1614988800000,2021-03-06 00:00:00,NEO/USDT,37.40400000,38.58800000,36.56400000,38.07900000,585585.34100000,22113502.62580700,43164
1614902400000,2021-03-05 00:00:00,NEO/USDT,37.83300000,38.12000000,35.70100000,37.40800000,898071.55800000,33357059.63720200,58752
1614816000000,2021-03-04 00:00:00,NEO/USDT,39.60000000,41.10000000,36.73300000,37.82700000,1147760.27400000,44457163.54042800,79712
1614729600000,2021-03-03 00:00:00,NEO/USDT,37.71600000,41.39600000,37.33500000,39.60000000,1478286.73900000,59261942.58087300,109036
1614643200000,2021-03-02 00:00:00,NEO/USDT,38.12000000,39.45200000,36.08400000,37.73300000,1189195.27100000,45098781.68632200,75174
1614556800000,2021-03-01 00:00:00,NEO/USDT,35.22900000,38.74600000,35.00900000,38.12000000,1272291.54600000,47389597.63252500,83905
1614470400000,2021-02-28 00:00:00,NEO/USDT,37.25800000,37.50000000,31.85800000,35.26100000,1742859.09000000,59583776.32092500,96993
1614384000000,2021-02-27 00:00:00,NEO/USDT,37.66000000,39.56900000,36.34900000,37.28000000,1063358.92000000,40647976.51445100,64667
