https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XLM,Volume USDT,tradecount
1614211200000,2021-02-25 00:00:00,XLM/USDT,0.40492000,0.42545000,0.37638000,0.38022000,203875233.60000000,82884915.30519100,167844
1614124800000,2021-02-24 00:00:00,XLM/USDT,0.38647000,0.43386000,0.36763000,0.40538000,291623219.70000000,119090563.89960600,227067
1614038400000,2021-02-23 00:00:00,XLM/USDT,0.46302000,0.46503000,0.31155000,0.38652000,623044562.20000000,237317198.54084900,356556
1613952000000,2021-02-22 00:00:00,XLM/USDT,0.49601000,0.52700000,0.38685000,0.46363000,514911532.70000000,239944204.54694500,423048
1613865600000,2021-02-21 00:00:00,XLM/USDT,0.48588000,0.50862000,0.47371000,0.49601000,204202452.30000000,100869347.21447900,196486
1613779200000,2021-02-20 00:00:00,XLM/USDT,0.51278000,0.53269000,0.45560000,0.48613000,370786177.60000000,190277966.54309800,342353
1613692800000,2021-02-19 00:00:00,XLM/USDT,0.49654000,0.52200000,0.48249000,0.51278000,255881661.40000000,129474417.67488000,229904
1613606400000,2021-02-18 00:00:00,XLM/USDT,0.49748000,0.51632000,0.48312000,0.49656000,223141451.80000000,111937037.79588300,195147
1613520000000,2021-02-17 00:00:00,XLM/USDT,0.48526000,0.50971000,0.45579000,0.49737000,236397721.70000000,115196503.41438900,227123
1613433600000,2021-02-16 00:00:00,XLM/USDT,0.49449000,0.51800000,0.46757000,0.48534000,292280117.70000000,144335718.48788000,249616
1613347200000,2021-02-15 00:00:00,XLM/USDT,0.51555000,0.53999000,0.42000000,0.49474000,569631456.70000000,280898181.23964700,419535
1613260800000,2021-02-14 00:00:00,XLM/USDT,0.56454000,0.57784000,0.49296000,0.51591000,416999858.10000000,223954895.17916300,265612
1613174400000,2021-02-13 00:00:00,XLM/USDT,0.52851000,0.60692000,0.50753000,0.56456000,884628802.95000000,497440999.89574320,732133
1613088000000,2021-02-12 00:00:00,XLM/USDT,0.45608000,0.53635000,0.43639000,0.52853000,608050495.29000000,291380927.57374800,447893
1613001600000,2021-02-11 00:00:00,XLM/USDT,0.41495000,0.47000000,0.41043000,0.45604000,550048930.00000000,244056058.10462800,355957
1612915200000,2021-02-10 00:00:00,XLM/USDT,0.40018000,0.44696000,0.37200000,0.41495000,672940856.83000000,276216037.47945100,453671
1612828800000,2021-02-09 00:00:00,XLM/USDT,0.39660000,0.40567000,0.38240000,0.40022000,343877325.80000000,135791701.24067700,249184
1612742400000,2021-02-08 00:00:00,XLM/USDT,0.38535000,0.40350000,0.37319000,0.39660000,515153861.50000000,200943385.77139400,367407
1612656000000,2021-02-07 00:00:00,XLM/USDT,0.37766000,0.42250000,0.36265000,0.38540000,1182745261.43000000,461037418.67186000,704820
1612569600000,2021-02-06 00:00:00,XLM/USDT,0.35164000,0.39800000,0.33586000,0.37739000,616921269.00000000,222105827.93549400,337404
1612483200000,2021-02-05 00:00:00,XLM/USDT,0.32597000,0.36284000,0.32500000,0.35155000,512517525.30000000,178492190.70075100,304128
1612396800000,2021-02-04 00:00:00,XLM/USDT,0.34672000,0.34999000,0.31244000,0.32569000,326942654.90000000,107874710.08260900,247825
1612310400000,2021-02-03 00:00:00,XLM/USDT,0.33932000,0.34872000,0.32920000,0.34670000,294482311.60000000,99947806.40141000,233646
1612224000000,2021-02-02 00:00:00,XLM/USDT,0.32354000,0.34999000,0.31735000,0.33932000,484489799.80000000,160813825.94940900,352324
1612137600000,2021-02-01 00:00:00,XLM/USDT,0.30704000,0.36961000,0.29236000,0.32323000,1090168896.00000000,360588029.52998600,628048
1612051200000,2021-01-31 00:00:00,XLM/USDT,0.32847000,0.33949000,0.29323000,0.30704000,658606929.20000000,209384868.95938400,457288
1611964800000,2021-01-30 00:00:00,XLM/USDT,0.29327000,0.36500000,0.27944000,0.32791000,1176619630.20000000,371226952.44251300,607775
1611878400000,2021-01-29 00:00:00,XLM/USDT,0.29329000,0.38367000,0.28560000,0.29322000,1835251498.90000000,588820716.62154900,966405
1611792000000,2021-01-28 00:00:00,XLM/USDT,0.23767000,0.30377000,0.23203000,0.29306000,462056226.70000000,124988540.21802000,282599
1611705600000,2021-01-27 00:00:00,XLM/USDT,0.26156000,0.26228000,0.23010000,0.23779000,164626281.30000000,40052361.82148100,99517
1611619200000,2021-01-26 00:00:00,XLM/USDT,0.26094000,0.26518000,0.24836000,0.26144000,152994432.00000000,39382896.51070600,92904
1611532800000,2021-01-25 00:00:00,XLM/USDT,0.27139000,0.27714000,0.25974000,0.26102000,187688410.00000000,50985335.37233100,107429
1611446400000,2021-01-24 00:00:00,XLM/USDT,0.26976000,0.28310000,0.26220000,0.27138000,219146598.30000000,60003115.43270200,121236
1611360000000,2021-01-23 00:00:00,XLM/USDT,0.26928000,0.27957000,0.26302000,0.26977000,206829031.30000000,56120980.35247800,117940
1611273600000,2021-01-22 00:00:00,XLM/USDT,0.25125000,0.28200000,0.22700000,0.26941000,417369524.60000000,107616505.43940000,214934
1611187200000,2021-01-21 00:00:00,XLM/USDT,0.29364000,0.29492000,0.24288000,0.25140000,296818169.10000000,80540560.20527200,186118
1611100800000,2021-01-20 00:00:00,XLM/USDT,0.29775000,0.30193000,0.27346000,0.29358000,312544139.10000000,90043200.31913100,182893
1611014400000,2021-01-19 00:00:00,XLM/USDT,0.30530000,0.31995000,0.29000000,0.29748000,492748733.20000000,151948235.89974600,270526
1610928000000,2021-01-18 00:00:00,XLM/USDT,0.30368000,0.30929000,0.29303000,0.30544000,276589020.70000000,83069000.03934600,149819
1610841600000,2021-01-17 00:00:00,XLM/USDT,0.29075000,0.31940000,0.28600000,0.30380000,543229586.60000000,164173427.91825800,297801
1610755200000,2021-01-16 00:00:00,XLM/USDT,0.28389000,0.31190000,0.27680000,0.29075000,465267798.20000000,137703460.20473600,264165
1610668800000,2021-01-15 00:00:00,XLM/USDT,0.30350000,0.31376000,0.25890000,0.28374000,473470475.20000000,136936802.97856700,267846
1610582400000,2021-01-14 00:00:00,XLM/USDT,0.30382000,0.32440000,0.28758000,0.30350000,509036633.70000000,153552986.69649300,274483
1610496000000,2021-01-13 00:00:00,XLM/USDT,0.27991000,0.31000000,0.27200000,0.30356000,508938545.30000000,147394313.71287400,325740
1610409600000,2021-01-12 00:00:00,XLM/USDT,0.27116000,0.31100000,0.25300000,0.27993000,924532021.20000000,264453879.78029600,503491
1610323200000,2021-01-11 00:00:00,XLM/USDT,0.28449000,0.28506000,0.21065000,0.27119000,849119358.90000000,207918640.48151800,418706
1610236800000,2021-01-10 00:00:00,XLM/USDT,0.31070000,0.32500000,0.26000000,0.28450000,568733844.50000000,169814198.05747000,321283
1610150400000,2021-01-09 00:00:00,XLM/USDT,0.29706000,0.32900000,0.28132000,0.31054000,630029959.70000000,189774771.78326100,353178
1610064000000,2021-01-08 00:00:00,XLM/USDT,0.31141000,0.33120000,0.26014000,0.29700000,984017607.40000000,294535750.82391000,470092
1609977600000,2021-01-07 00:00:00,XLM/USDT,0.33976000,0.41194000,0.28888000,0.31124000,1712004424.81000000,599030816.99994100,926898
1609891200000,2021-01-06 00:00:00,XLM/USDT,0.19303000,0.39000000,0.19166000,0.33938000,3305718352.50000000,966724786.50578390,1450888
1609804800000,2021-01-05 00:00:00,XLM/USDT,0.16410000,0.21000000,0.15000000,0.19291000,1166645286.00000000,209333530.85087300,423858
1609718400000,2021-01-04 00:00:00,XLM/USDT,0.13656000,0.16750000,0.12780000,0.16404000,966556893.50000000,144603949.96337400,324104
1609632000000,2021-01-03 00:00:00,XLM/USDT,0.12752000,0.13927000,0.12400000,0.13653000,397760722.30000000,52587420.45105500,130842
1609545600000,2021-01-02 00:00:00,XLM/USDT,0.13223000,0.13515000,0.12665000,0.12751000,222846091.60000000,28973715.54706500,81233
1609459200000,2021-01-01 00:00:00,XLM/USDT,0.12759000,0.13992000,0.12644000,0.13207000,241901706.10000000,32256304.03278700,87371
1609372800000,2020-12-31 00:00:00,XLM/USDT,0.13178000,0.13276000,0.12256000,0.12762000,217877056.90000000,27601342.53026800,80428
1609286400000,2020-12-30 00:00:00,XLM/USDT,0.13826000,0.13945000,0.12842000,0.13175000,274679216.00000000,36557864.19465600,100422
1609200000000,2020-12-29 00:00:00,XLM/USDT,0.14432000,0.14911000,0.12801000,0.13831000,390541189.80000000,53951120.76229600,126128
1609113600000,2020-12-28 00:00:00,XLM/USDT,0.14538000,0.15501000,0.14146000,0.14448000,285941388.60000000,42626964.58620500,101453
1609027200000,2020-12-27 00:00:00,XLM/USDT,0.14678000,0.15592000,0.13425000,0.14527000,443554533.50000000,64389391.93921500,143024
1608940800000,2020-12-26 00:00:00,XLM/USDT,0.15240000,0.15571000,0.14388000,0.14673000,240169863.90000000,35765822.73218200,88927
1608854400000,2020-12-25 00:00:00,XLM/USDT,0.15819000,0.16701000,0.14804000,0.15238000,432924506.70000000,67749332.00626100,196586
