https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ZEC,Volume USDT,tradecount
1612483200000,2021-02-05 00:00:00,ZEC/USDT,89.98000000,96.67000000,89.19000000,96.44000000,304478.36032000,28411287.16573980,79177
1612396800000,2021-02-04 00:00:00,ZEC/USDT,95.28000000,96.68000000,88.73000000,90.00000000,291109.11671000,26824268.92054650,81199
1612310400000,2021-02-03 00:00:00,ZEC/USDT,92.38000000,96.90000000,92.38000000,95.23000000,198402.67456000,18856494.93168220,60450
1612224000000,2021-02-02 00:00:00,ZEC/USDT,88.68000000,94.49000000,88.25000000,92.37000000,386477.62340000,35313848.51933370,89294
1612137600000,2021-02-01 00:00:00,ZEC/USDT,85.58000000,89.64000000,84.07000000,88.69000000,267754.06669000,23255877.05861360,72483
1612051200000,2021-01-31 00:00:00,ZEC/USDT,84.43000000,87.60000000,82.39000000,85.65000000,227293.07454000,19285766.71987770,66276
1611964800000,2021-01-30 00:00:00,ZEC/USDT,85.50000000,86.32000000,82.80000000,84.51000000,171706.05362000,14446645.13873800,51617
1611878400000,2021-01-29 00:00:00,ZEC/USDT,86.82000000,90.31000000,82.26000000,85.49000000,380792.36338000,32707107.17915830,105410
1611792000000,2021-01-28 00:00:00,ZEC/USDT,78.42000000,88.85000000,77.02000000,86.82000000,334962.45971000,27975808.51324920,80846
1611705600000,2021-01-27 00:00:00,ZEC/USDT,89.25000000,89.30000000,76.33000000,78.41000000,321826.12984000,26250440.01244450,75467
1611619200000,2021-01-26 00:00:00,ZEC/USDT,87.88000000,90.35000000,83.74000000,89.26000000,366239.14487000,31945248.27623690,128715
1611532800000,2021-01-25 00:00:00,ZEC/USDT,89.98000000,96.46000000,87.84000000,87.89000000,418978.31156000,38654729.59676850,126757
1611446400000,2021-01-24 00:00:00,ZEC/USDT,85.96000000,92.38000000,84.96000000,90.00000000,307171.90955000,27397632.85843490,60734
1611360000000,2021-01-23 00:00:00,ZEC/USDT,86.96000000,90.49000000,83.73000000,85.95000000,258752.02606000,22454934.99010700,51292
1611273600000,2021-01-22 00:00:00,ZEC/USDT,82.99000000,91.64000000,76.13000000,86.94000000,364241.91111000,30738344.52425850,72722
1611187200000,2021-01-21 00:00:00,ZEC/USDT,99.07000000,99.49000000,82.14000000,82.92000000,381246.69863000,34389262.17327910,87269
1611100800000,2021-01-20 00:00:00,ZEC/USDT,102.43000000,103.99000000,90.57000000,98.99000000,505857.53310000,49499733.02983070,102090
1611014400000,2021-01-19 00:00:00,ZEC/USDT,104.02000000,113.17000000,102.06000000,102.42000000,451971.85863000,48018176.45045480,91760
1610928000000,2021-01-18 00:00:00,ZEC/USDT,102.15000000,106.44000000,100.10000000,103.98000000,348740.89628000,36055897.34994680,70594
1610841600000,2021-01-17 00:00:00,ZEC/USDT,108.11000000,108.95000000,98.14000000,102.25000000,435650.58822000,44856573.99895900,93774
1610755200000,2021-01-16 00:00:00,ZEC/USDT,103.25000000,113.88000000,101.67000000,108.08000000,517457.16199000,55572190.70469560,117445
1610668800000,2021-01-15 00:00:00,ZEC/USDT,111.72000000,114.95000000,94.43000000,103.25000000,655505.87085000,69650636.17794720,137373
1610582400000,2021-01-14 00:00:00,ZEC/USDT,117.33000000,118.89000000,105.90000000,111.71000000,609032.21864000,68878766.35688360,123786
1610496000000,2021-01-13 00:00:00,ZEC/USDT,99.73000000,120.69000000,92.47000000,117.35000000,1133276.73798000,121309827.63671580,199898
1610409600000,2021-01-12 00:00:00,ZEC/USDT,88.13000000,105.51000000,84.28000000,99.72000000,1481569.63830000,142971262.66431230,240829
1610323200000,2021-01-11 00:00:00,ZEC/USDT,96.45000000,108.97000000,77.59000000,88.24000000,2757618.58073000,251972281.44361980,454667
1610236800000,2021-01-10 00:00:00,ZEC/USDT,78.44000000,98.67000000,75.70000000,96.37000000,2044328.41849000,181695140.53977050,339795
1610150400000,2021-01-09 00:00:00,ZEC/USDT,68.62000000,80.00000000,65.77000000,78.44000000,524335.05886000,38014139.07760620,115249
1610064000000,2021-01-08 00:00:00,ZEC/USDT,67.77000000,70.08000000,61.14000000,68.59000000,536970.73750000,35746279.47405840,113960
1609977600000,2021-01-07 00:00:00,ZEC/USDT,63.92000000,74.32000000,62.93000000,67.75000000,824291.97475000,56779148.86101510,174670
1609891200000,2021-01-06 00:00:00,ZEC/USDT,59.63000000,65.35000000,58.95000000,63.92000000,402336.26763000,24994734.46598820,94187
1609804800000,2021-01-05 00:00:00,ZEC/USDT,60.34000000,61.17000000,57.91000000,59.64000000,231711.56414000,13749124.88180110,60499
1609718400000,2021-01-04 00:00:00,ZEC/USDT,59.35000000,65.00000000,56.62000000,60.34000000,497967.97236000,30049048.13057900,93062
1609632000000,2021-01-03 00:00:00,ZEC/USDT,57.48000000,61.88000000,56.22000000,59.35000000,358158.13483000,20989871.35856800,62463
1609545600000,2021-01-02 00:00:00,ZEC/USDT,56.60000000,59.90000000,55.20000000,57.46000000,468375.73952000,27027183.46829060,84889
1609459200000,2021-01-01 00:00:00,ZEC/USDT,63.96000000,67.24000000,54.38000000,56.60000000,823695.57676000,49010999.45223240,137484
1609372800000,2020-12-31 00:00:00,ZEC/USDT,64.09000000,64.55000000,61.17000000,63.91000000,127119.34379000,7980025.16925220,25838
1609286400000,2020-12-30 00:00:00,ZEC/USDT,65.38000000,66.30000000,62.86000000,64.09000000,158232.83064000,10171573.37449270,35531
1609200000000,2020-12-29 00:00:00,ZEC/USDT,69.09000000,70.62000000,61.57000000,65.33000000,265016.78123000,17296055.34134100,49706
1609113600000,2020-12-28 00:00:00,ZEC/USDT,66.95000000,71.43000000,66.20000000,69.04000000,245572.54942000,16928713.43185060,49992
